<<<<<<< HEAD
price,rating,title
£35.07,star-rating Three,Throne of Glass (Throne of Glass #1)
£59.64,star-rating One,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History
£52.72,star-rating One,Thirteen Reasons Why
£58.08,star-rating Four,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”
£24.12,star-rating One,The Wedding Dress
£42.15,star-rating Four,The Vacationers
£12.61,star-rating Five,The Third Wave: An Entrepreneur’s Vision of the Future
£17.44,star-rating Four,The Stranger
£33.14,star-rating One,The Shadow Hero (The Shadow Hero)
£27.37,star-rating Four,The Secret (The Secret #1)
£51.36,star-rating Five,The Regional Office Is Under Attack!
£36.00,star-rating Two,The Psychopath Test: A Journey Through the Madness Industry
£10.65,star-rating One,The Project
£43.54,star-rating Two,The Power of Now: A Guide to Spiritual Enlightenment
£38.21,star-rating Two,The Omnivore's Dilemma: A Natural History of Four Meals
£37.34,star-rating Five,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us
£44.10,star-rating Four,The Murder of Roger Ackroyd (Hercule Poirot #4)
£43.29,star-rating Three,The Mistake (Off-Campus #2)
£55.85,star-rating One,The Matchmaker's Playbook (Wingmen Inc. #1)
£37.60,star-rating Two,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking
£10.97,star-rating One,The Long Shadow of Small Ghosts: Murder and Memory in an American City
£41.82,star-rating Four,The Kite Runner
£36.95,star-rating One,The House by the Lake
£44.28,star-rating One,The Glittering Court (The Glittering Court #1)
£55.02,star-rating Two,The Girl on the Train
£17.24,star-rating One,The Genius of Birds
£23.15,star-rating Two,The Emerald Mystery
£41.25,star-rating One,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First
£32.00,star-rating Three,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.
£38.49,star-rating Five,The Artist's Way: A Spiritual Path to Higher Creativity
£33.34,star-rating Five,The Art of War
£10.93,star-rating Two,The Argonauts
£27.55,star-rating Three,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job
£55.99,star-rating Two,Suddenly in Love (Lake Haven #1)
£16.24,star-rating Four,Something More Than This
£26.12,star-rating Two,Soft Apocalypse
£12.23,star-rating Two,So You've Been Publicly Shamed
£23.99,star-rating Two,Shoe Dog: A Memoir by the Creator of NIKE
£29.06,star-rating Three,"Shobu Samurai, Project Aryoku (#3)"
£20.27,star-rating One,Secrets and Lace (Fatal Hearts #1)
£43.55,star-rating Five,Scarlett Epstein Hates It Here
£36.94,star-rating One,Romero and Juliet: A Tragic Tale of Love and Zombies
£20.47,star-rating Five,Redeeming Love
£41.06,star-rating One,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form
£14.19,star-rating Four,Poems That Make Grown Women Cry
£38.28,star-rating One,"Nightingale, Sing"
£41.05,star-rating One,Night Sky with Exit Wounds
£30.25,star-rating Five,Mrs. Houdini
£28.26,star-rating Five,Modern Romance
£10.76,star-rating One,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1)
£16.85,star-rating Two,Louisa: The Extraordinary Life of Mrs. Adams
£13.47,star-rating Three,Little Red
£48.56,star-rating Five,Library of Souls (Miss Peregrine’s Peculiar Children #3)
£19.15,star-rating Two,Large Print Heart of the Pride
£57.36,star-rating Four,I Had a Nice Time And Other Lies...: How to find love & sh*t like that
£42.98,star-rating One,Hollow City (Miss Peregrine’s Peculiar Children #2)
£22.16,star-rating Two,Grumbles
£49.43,star-rating Four,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond
£29.99,star-rating Five,Frostbite (Vampire Academy #2)
£21.36,star-rating One,Follow You Home
£29.00,star-rating One,First Steps for New Christians (Print Edition)
£53.53,star-rating Five,Finders Keepers (Bill Hodges Trilogy #2)
£41.62,star-rating Four,"Fables, Vol. 1: Legends in Exile (Fables #1)"
£54.59,star-rating Four,Eureka Trivia 6.0
£34.95,star-rating Four,Drive: The Surprising Truth About What Motivates Us
£37.72,star-rating Five,Done Rubbed Out (Reightman & Bailey #1)
£35.61,star-rating Three,Doing It Over (Most Likely To #1)
£42.16,star-rating Three,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals"
£19.19,star-rating Five,Dark Notes
£19.43,star-rating Three,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead"
£49.46,star-rating Four,Close to You
£37.80,star-rating Two,Chasing Heaven: What Dying Taught Me About Living
£30.80,star-rating Three,Big Magic: Creative Living Beyond Fear
£27.43,star-rating Two,Becoming Wise: An Inquiry into the Mystery and Art of Living
£11.11,star-rating Two,Beauty Restored (Riley Family Legacy Novellas #3)
£36.50,star-rating Two,Batman: The Long Halloween (Batman)
£15.38,star-rating Five,Batman: The Dark Knight Returns (Batman)
£15.48,star-rating Two,Ayumi's Violin
£46.82,star-rating Four,Anonymous
£18.46,star-rating Three,Amy Meets the Saints and Sages
£36.58,star-rating One,Amid the Chaos
£50.54,star-rating Five,Amatus
£12.51,star-rating Five,Agnostic: A Spirited Manifesto
£24.70,star-rating Three,Zealot: The Life and Times of Jesus of Nazareth
£43.61,star-rating Five,You (You #1)
£37.34,star-rating Four,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)"
£14.36,star-rating Two,Wild Swans
£52.65,star-rating Four,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond
£38.20,star-rating Four,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity
£19.60,star-rating Two,What's It Like in Space?: Stories from Astronauts Who've Been There
£53.90,star-rating One,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)"
£12.96,star-rating Five,Walt Disney's Alice in Wonderland
£37.10,star-rating Four,V for Vendetta (V for Vendetta Complete)
£46.31,star-rating Two,Until Friday Night (The Field Party #1)
£45.95,star-rating Two,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
£22.08,star-rating Two,Twenty Yawns
£25.38,star-rating Two,Through the Woods
£27.12,star-rating Two,This Is Where It Ends
£43.04,star-rating Two,The Year of Magical Thinking
£56.80,star-rating Four,The Wright Brothers
£25.91,star-rating Five,The White Queen (The Cousins' War #1)
£32.61,star-rating Three,The Wedding Pact (The O'Malleys #2)
£27.88,star-rating Five,The Time Keeper
£52.67,star-rating Four,The Testament of Mary
£46.02,star-rating Five,The Star-Touched Queen
£44.48,star-rating Five,The Songs of the Gods
£37.40,star-rating Five,The Song of Achilles
£54.04,star-rating One,The Rosie Project (Don Tillman #1)
£16.88,star-rating Three,The Power of Habit: Why We Do What We Do in Life and Business
£28.08,star-rating Four,The Marriage of Opposites
£10.40,star-rating One,The Lucifer Effect: Understanding How Good People Turn Evil
£44.07,star-rating One,The Long Haul (Diary of a Wimpy Kid #9)
£23.40,star-rating One,The Loney
£17.43,star-rating Three,The Literature Book (Big Ideas Simply Explained)
£54.21,star-rating Two,The Last Mile (Amos Decker #2)
£40.67,star-rating Two,The Immortal Life of Henrietta Lacks
£52.26,star-rating Two,The Hidden Oracle (The Trials of Apollo #1)
£28.77,star-rating Three,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth
£13.82,star-rating Two,The Guilty (Will Robie #4)
£25.85,star-rating Three,The First Hostage (J.B. Collins #2)
£48.78,star-rating One,The Dovekeepers
£35.35,star-rating Five,The Darkest Lie
£44.73,star-rating Four,The Bane Chronicles (The Bane Chronicles #1-11)
£15.77,star-rating One,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts
£39.24,star-rating One,The 14th Colony (Cotton Malone #11)
£13.92,star-rating One,That Darkness (Gardiner and Renner #1)
£10.69,star-rating One,Tastes Like Fear (DI Marnie Rome #3)
£45.21,star-rating Three,Take Me with You
£45.58,star-rating One,Swell: A Year of Waves
£11.89,star-rating Five,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1)
£26.41,star-rating Three,Still Life with Bread Crumbs
£39.50,star-rating Five,Steve Jobs
£44.74,star-rating Four,Sorting the Beef from the Bull: The Science of Food Fraud Forensics
£52.79,star-rating Five,Someone Like You (The Harrisons #2)
£35.43,star-rating Four,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)"
£55.84,star-rating Four,Shtum
£48.87,star-rating Three,See America: A Celebration of Our National Parks & Treasured Sites
£46.78,star-rating Four,salt.
£47.82,star-rating Three,Robin War
£25.48,star-rating Two,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)"
£23.57,star-rating Three,Rain Fish
£50.89,star-rating Five,"Quarter Life Poetry: Poems for the Young, Broke and Hangry"
£10.56,star-rating Three,Pet Sematary
£52.15,star-rating Three,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress"
£18.28,star-rating Two,Once Was a Time
£11.83,star-rating Five,Old School (Diary of a Wimpy Kid #10)
£21.95,star-rating Two,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon
£38.39,star-rating Two,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)"
£41.56,star-rating One,My Name Is Lucy Barton
£24.48,star-rating Three,My Mrs. Brown
£40.36,star-rating One,My Kind of Crazy
£28.90,star-rating One,Mr. Mercedes (Bill Hodges Trilogy #1)
£37.61,star-rating Two,More Than Music (Chasing the Dream #1)
£38.85,star-rating Five,Made to Stick: Why Some Ideas Survive and Others Die
£53.95,star-rating Three,Luis Paints the World
£49.83,star-rating Three,Luckiest Girl Alive
£51.51,star-rating Two,Lowriders to the Center of the Earth (Lowriders in Space #2)
£18.03,star-rating One,Love Is a Mix Tape (Music #1)
£29.14,star-rating Five,Looking for Lovely: Collecting the Moments that Matter
£46.91,star-rating Four,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments"
£26.79,star-rating Five,Let It Out: A Journey Through Journaling
£16.28,star-rating Five,Lady Midnight (The Dark Artifices #1)
£19.55,star-rating One,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes"
£29.65,star-rating One,Island of Dragons (Unwanteds #7)
£25.98,star-rating Four,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction
£10.60,star-rating Four,I Am Pilgrim (Pilgrim #1)
£14.75,star-rating Five,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened"
£47.02,star-rating Three,"Hush, Hush (Hush, Hush #1)"
£28.82,star-rating One,Hold Your Breath (Search and Rescue #1)
£58.79,star-rating Three,Hamilton: The Revolution
£10.23,star-rating Five,Greek Mythic History
£30.03,star-rating Five,God: The Most Unpleasant Character in All Fiction
£45.84,star-rating Three,Glory over Everything: Beyond The Kitchen House
£49.05,star-rating Three,Feathers: Displays of Brilliant Plumage
£15.06,star-rating Four,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years"
£46.47,star-rating Three,Every Last Word
£27.09,star-rating Three,Eligible (The Austen Project #4)
£57.62,star-rating Five,El Deafo
£14.39,star-rating Four,Eight Hundred Grapes
£51.75,star-rating Five,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life"
£54.07,star-rating Two,"Eat Fat, Get Thin"
£55.35,star-rating One,Don't Get Caught
£40.12,star-rating Two,Doctor Sleep (The Shining #2)
£37.51,star-rating Five,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3)
£11.21,star-rating Five,Dear Mr. Knightley
£36.58,star-rating One,Daily Fantasy Sports
£47.72,star-rating Two,Crazy Love: Overwhelmed by a Relentless God
£25.01,star-rating Three,Cometh the Hour (The Clifton Chronicles #6)
£22.13,star-rating Four,Code Name Verity (Code Name Verity #1)
£44.14,star-rating One,Clockwork Angel (The Infernal Devices #1)
£56.02,star-rating Four,City of Glass (The Mortal Instruments #3)
£11.23,star-rating Four,City of Fallen Angels (The Mortal Instruments #4)
£43.28,star-rating One,City of Bones (The Mortal Instruments #1)
£47.27,star-rating One,City of Ashes (The Mortal Instruments #2)
£20.29,star-rating Four,Cell
£50.83,star-rating Three,Catching Jordan (Hundred Oaks)
£31.85,star-rating Three,"Carry On, Warrior: Thoughts on Life Unarmed"
£46.23,star-rating Two,Carrie
£37.80,star-rating Four,Buying In: The Secret Dialogue Between What We Buy and Who We Are
£49.32,star-rating Five,Brain on Fire: My Month of Madness
£32.01,star-rating Two,Batman: Europa
£28.01,star-rating One,Barefoot Contessa Back to Basics
£50.62,star-rating Five,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again
£17.03,star-rating Three,Balloon Animals
£48.80,star-rating Three,Art Ops Vol. 1
£58.14,star-rating Four,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1)
£34.20,star-rating Two,Angels Walking (Angels Walking #1)
£51.48,star-rating Three,Angels & Demons (Robert Langdon #1)
£29.87,star-rating Five,All the Light We Cannot See
£10.90,star-rating Two,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection"
£56.37,star-rating Five,Abstract City
£48.35,star-rating Five,A Time of Torment (Charlie Parker #14)
£16.73,star-rating Two,A Study in Scarlet (Sherlock Holmes #1)
£56.48,star-rating Two,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer"
£40.79,star-rating Two,A People's History of the United States
£39.72,star-rating One,A Man Called Ove
£14.58,star-rating Three,A Distant Mirror: The Calamitous 14th Century
£55.51,star-rating One,A Brush of Wings (Angels Walking #3)
£21.80,star-rating Three,1491: New Revelations of the Americas Before Columbus
£13.33,star-rating Three,"The Three Searches, Meaning, and the Story"
£38.73,star-rating One,Searching for Meaning in Gailana
£37.86,star-rating Four,Rook
£11.53,star-rating Two,My Kitchen Year: 136 Recipes That Saved My Life
£27.06,star-rating One,13 Hours: The Inside Account of What Really Happened In Benghazi
£13.86,star-rating Three,Will You Won't You Want Me?
£37.55,star-rating One,Tipping Point for Planet Earth: How Close Are We to the Edge?
£32.30,star-rating Five,The Star-Touched Queen
£46.29,star-rating Five,The Silent Sister (Riley MacPherson #1)
£26.20,star-rating One,The Midnight Watch: A Novel of the Titanic and the Californian
£33.26,star-rating Two,The Lonely City: Adventures in the Art of Being Alone
£59.15,star-rating Four,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore
£39.43,star-rating One,The Golden Condom: And Other Essays on Love Lost and Found
£14.44,star-rating Five,The Epidemic (The Program 0.6)
£56.54,star-rating Two,The Dinner Party
£59.90,star-rating Three,The Diary of a Young Girl
£11.88,star-rating Three,The Children
£48.05,star-rating Two,Stars Above (The Lunar Chronicles #4.5)
£21.21,star-rating Three,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas
£49.67,star-rating Four,Raspberry Pi Electronics Projects for the Evil Genius
£43.14,star-rating One,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two
£36.97,star-rating Five,Psycho: Sanitarium (Psycho #1.5)
£26.80,star-rating Three,Poisonous (Max Revere Novels #3)
£15.71,star-rating Four,One with You (Crossfire #5)
£54.65,star-rating Four,No Love Allowed (Dodge Cove #1)
£54.36,star-rating Four,Murder at the 42nd Street Library (Raymond Ambler #1)
£35.28,star-rating Three,Most Wanted
£20.55,star-rating Two,"Love, Lies and Spies"
£58.32,star-rating Five,How to Speak Golf: An Illustrated Guide to Links Lingo
£11.84,star-rating One,Hide Away (Eve Duncan #20)
£41.46,star-rating Four,Furiously Happy: A Funny Book About Horrible Things
£20.10,star-rating Five,Everyday Italian: 125 Simple and Delicious Recipes
£56.86,star-rating One,Equal Is Unfair: America's Misguided Fight Against Income Inequality
£56.51,star-rating Five,Eleanor & Park
£40.83,star-rating Four,Dirty (Dive Bar #1)
£48.64,star-rating One,Can You Keep a Secret? (Fear Street Relaunch #4)
£59.48,star-rating Three,Boar Island (Anna Pigeon #19)
£39.01,star-rating Four,A Paris Apartment
£38.77,star-rating One,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More"
£48.39,star-rating Two,Troublemaker: Surviving Hollywood and Scientology
£27.26,star-rating Two,The Widow
£11.68,star-rating Four,"The Sleep Revolution: Transforming Your Life, One Night at a Time"
£59.45,star-rating One,The Improbability of Love
£21.00,star-rating Three,The Art of Startup Fundraising
£53.98,star-rating Three,Take Me Home Tonight (Rock Star Romance #3)
£48.74,star-rating One,Sleeping Giants (Themis Files #1)
£21.15,star-rating Two,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena"
£13.71,star-rating Three,Playing with Fire
£47.67,star-rating Three,Off the Hook (Fishing for Trouble #1)
£13.34,star-rating Two,Mothering Sunday
£16.89,star-rating Five,"Mother, Can You Not?"
£27.18,star-rating One,M Train
£17.28,star-rating Two,Lilac Girls
£45.14,star-rating One,Lies and Other Acts of Love
£40.85,star-rating One,Lab Girl
£20.46,star-rating Four,Keep Me Posted
£56.27,star-rating Three,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle
£48.49,star-rating Four,Grey (Fifty Shades #4)
£51.34,star-rating Four,"Exit, Pursued by a Bear"
£16.34,star-rating Three,Daredevils
£20.50,star-rating Three,Cravings: Recipes for What You Want to Eat
£21.59,star-rating Five,Born for This: How to Find the Work You Were Meant to Do
£21.36,star-rating Four,Arena
£20.88,star-rating Five,Adultery
£19.53,star-rating Three,A Mother's Reckoning: Living in the Aftermath of Tragedy
£14.75,star-rating Five,A Gentleman's Position (Society of Gentlemen #3)
£48.48,star-rating Three,11/22/63
£24.57,star-rating Two,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works"
£49.71,star-rating Five,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!
£48.27,star-rating Five,Without Shame
£58.05,star-rating Four,Watchmen
£58.87,star-rating Four,Unlimited Intuition Now
£11.82,star-rating Two,Underlying Notes
£28.03,star-rating One,The Shack
£44.05,star-rating Five,The New Brand You: Your New Image Makes the Sale for You
£12.34,star-rating Four,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York"
£16.68,star-rating Two,The Flowers Lied
£55.91,star-rating One,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality"
